file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps
/mnt/beegfs/testdir_64K/test_1000M.dat,1000000000,64000,20,32972,37580,68608,67584,10,10,229.54
/mnt/beegfs/testdir_256K/test_500M.dat,500000000,256000,30,144588,137420,261120,261120,20,10,765.07
/mnt/beegfs/testdir_4096K/test_500M.dat,500000000,4096000,7,335257,159232,486400,212992,5,2,785.02
/mnt/beegfs/testdir_128K/test_1000M.dat,1000000000,128000,22,68249,50688,132096,78848,20,2,341.91
/mnt/beegfs/testdir_512K/test_500M.dat,500000000,512000,7,187801,224768,475136,437248,5,2,472.88
/mnt/beegfs/testdir_512K/test_50M.dat,50000000,512000,15,250368,261324,462848,447488,10,5,885.31
/mnt/beegfs/testdir_256K/test_200M.dat,200000000,256000,12,161587,104448,265216,128000,10,2,446.94
/mnt/beegfs/testdir_512K/test_1000M.dat,1000000000,512000,22,282828,242688,523264,448512,20,2,543.93
/mnt/beegfs/testdir_128K/test_50M.dat,50000000,128000,10,63488,82739,111616,120832,5,5,395.54
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,7,350003,174592,487424,342016,5,2,600.12
/mnt/beegfs/testdir_4096K/test_500M.dat,500000000,4096000,15,196403,225075,414720,335872,10,5,526.59
/mnt/beegfs/testdir_4096K/test_50M.dat,50000000,4096000,15,207564,421273,447488,464896,10,5,544.32
/mnt/beegfs/testdir_1024K/test_1000M.dat,1000000000,1024000,7,238796,100864,439296,174080,5,2,547.05
/mnt/beegfs/testdir_768K/test_200M.dat,200000000,768000,25,259584,245555,476160,350208,20,5,487.69
/mnt/beegfs/testdir_4096K/test_100M.dat,100000000,4096000,30,300595,298086,526336,522240,20,10,814.18
/mnt/beegfs/testdir_512K/test_200M.dat,200000000,512000,15,212275,305971,494592,428032,10,5,821.21
/mnt/beegfs/testdir_128K/test_50M.dat,50000000,128000,30,76441,86323,129024,131072,20,10,546.31
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,15,245964,200089,519168,432128,10,5,544.93
/mnt/beegfs/testdir_512K/test_50M.dat,50000000,512000,22,251084,287744,522240,453632,20,2,895.72
/mnt/beegfs/testdir_2048K/test_50M.dat,50000000,2048000,12,319897,371200,502784,407552,10,2,571.46
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,30,282112,200089,508928,492544,20,10,877.73
/mnt/beegfs/testdir_256K/test_500M.dat,500000000,256000,20,103424,119193,253952,244736,10,10,434.96
/mnt/beegfs/testdir_256K/test_200M.dat,200000000,256000,10,122675,169984,194560,235520,5,5,474.09
/mnt/beegfs/testdir_1024K/test_100M.dat,100000000,1024000,20,314060,175820,503808,431104,10,10,470.45
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,256000,15,101888,102195,209920,142336,10,5,137.87
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,20,39833,37785,63488,68608,10,10,249.58
/mnt/beegfs/testdir_768K/test_200M.dat,200000000,768000,10,204390,424960,414720,527360,5,5,755.29
/mnt/beegfs/testdir_2048K/test_200M.dat,200000000,2048000,22,295270,175104,496640,325632,20,2,612.26
/mnt/beegfs/testdir_128K/test_1000M.dat,1000000000,128000,15,81408,48332,126976,73728,10,5,312.03
/mnt/beegfs/testdir_2048K/test_500M.dat,500000000,2048000,12,260300,257024,489472,330752,10,2,773.28
/mnt/beegfs/testdir_512K/test_500M.dat,500000000,512000,12,209715,482304,518144,490496,10,2,471.11
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,20,314880,277299,506880,498688,10,10,474.48
/mnt/beegfs/testdir_128K/test_500M.dat,500000000,128000,10,49561,74956,111616,110592,5,5,354.73
