model_type,file_size,file_size_mb,data_pattern,access_pattern,old_chunk_size,new_chunk_size,before_read_speed,after_read_speed,read_speed_change,read_speed_pct,before_write_speed,after_write_speed,write_speed_change,write_speed_pct,before_throughput,after_throughput,throughput_change,throughput_pct
xgb,10485760,10.0,sequential,write_heavy,512,2048,430.357168508429,557.2122806318334,126.85511212340441,29.476704794547835,148.81210846814585,165.4705746207419,16.65846615259605,11.194294821890717,289.58463848828745,361.34142762628767,71.75678913800022,24.779211187648166
xgb,10485760,10.0,sequential,write_heavy,512,2048,461.43142654926964,437.59953259327267,-23.831893955996975,-5.164774782294181,176.36069047872667,179.2047032484373,2.8440127697106448,1.6126114963547964,318.8960585139981,308.402117920855,-10.493940593143122,-3.2907087789178444
rf,10485760,10.0,sequential,mixed,512,4096,417.0214063426937,470.70244873224055,53.68104238954686,12.872490853726978,161.6291738652931,174.73087535462298,13.101701489329884,8.106025153756747,289.3252901039934,322.71666204343177,33.391371939438386,11.541117586864386
rf,10485760,10.0,sequential,mixed,512,4096,461.593928032957,605.8098062627585,144.21587822980143,31.24301891152794,177.29403144902213,178.81303015101798,1.518998701995855,0.8567680984977868,319.44397974098956,392.3114182068882,72.86743846589866,22.81070957260825
rf,10485760,10.0,sequential,mixed,512,4096,458.64283345057976,505.161329174144,46.51849572356423,10.142640924656842,148.62930059993124,192.70511913403843,44.075818534107185,29.654865061060224,303.6360670252555,348.9332241540912,45.29715712883569,14.91823997478798
xgb,10485760,10.0,sequential,mixed,512,2048,423.19685198264557,513.0919070124003,89.8950550297547,21.24190069198367,161.80916852164052,183.42036252851614,21.61119400687562,13.355976181278825,292.50301025214304,348.2561347704582,55.75312451831513,19.060701108769752
xgb,10485760,10.0,sequential,mixed,512,2048,452.77420144148937,528.4806128620389,75.70641142054956,16.72056649418725,169.606168030301,174.27614575975403,4.669977729453024,2.7534244678051496,311.1901847358952,351.3783793108965,40.18819457500132,12.914351591490183
xgb,10485760,10.0,sequential,mixed,512,2048,434.7405116865618,564.413065515973,129.67255382941124,29.827575379701965,133.75987685883732,186.30779868607888,52.54792182724157,39.285264805303086,284.25019427269956,375.36043210102594,91.11023782832638,32.052832210527335
rf,10485760,10.0,sequential,sequential,512,4096,425.12997587658543,418.2453714475653,-6.884604429020158,-1.6194116669436518,162.39284294645114,156.55236509814605,-5.840477848305085,-3.5965118550396804,293.7614094115183,287.3988682728557,-6.362541138662607,-2.16588732720491
rf,10485760,10.0,sequential,sequential,512,4096,399.42201963000116,427.4885593436274,28.06653971362624,7.026788292649784,155.59450425931033,159.53929425905568,3.9447899997453533,2.5353016281160254,277.5082619446557,293.51392680134154,16.005664856685826,5.767635437058765
rf,10485760,10.0,sequential,sequential,512,4096,470.940277782976,501.5030449893186,30.562767206342585,6.489733125019913,162.6909948488798,196.83928616123947,34.148291312359675,20.98966285385328,316.8156363159279,349.171165575279,32.3555292593511,10.212731175643816
xgb,10485760,10.0,sequential,sequential,512,2048,366.03770072143357,437.63149382831983,71.59379310688627,19.559130921700177,159.72540696434555,185.17135423411543,25.445947269769874,15.9310580285139,262.88155384288956,311.40142403121763,48.51987018832807,18.45693221112267
xgb,10485760,10.0,sequential,sequential,512,2048,391.1089007969564,492.6534879077252,101.54458711076882,25.963251386980208,169.21317943607764,196.5425881698747,27.329408733797067,16.15087478698495,280.16104011651703,344.5980380387999,64.4369979222829,22.99998525686655
xgb,10485760,10.0,sequential,sequential,512,2048,445.9116037762595,547.1640155501249,101.25241177386539,22.70683492342347,153.73079878754262,189.40527261725205,35.67447382970943,23.205807886949106,299.82120128190104,368.2846440836885,68.46344280178744,22.834757018205668
rf,10485760,10.0,sequential,random,512,4096,389.03388572841953,467.4673443002987,78.43345857187916,20.161086591473097,150.8664661174544,155.0926149613714,4.226148843917002,2.801251300356442,269.950175922937,311.27997963083504,41.329803707898066,15.31015994584739
rf,10485760,10.0,sequential,random,512,4096,460.52116882356387,442.95266290936354,-17.56850591420033,-3.814918206492094,169.79269304726242,169.29513907108347,-0.49755397617894914,-0.29303615323449356,315.15693093541313,306.1239009902235,-9.03302994518964,-2.8662006316595425
rf,10485760,10.0,sequential,random,512,4096,490.68430329594906,472.4858343377905,-18.19846895815857,-3.7087937877610138,150.10374802721284,152.44493928449842,2.3411912572855726,1.559715388892974,320.39402566158094,312.46538681114447,-7.928638850436471,-2.4746525263898542
xgb,10485760,10.0,sequential,random,512,2048,458.99751585874316,557.0987979545304,98.10128209578721,21.372944015230345,160.5581741946515,177.29128359899735,16.73310940434584,10.421835878663877,309.7778450266973,367.19504077676385,57.417195750066526,18.534958736354497
xgb,10485760,10.0,sequential,random,512,2048,342.5459594103475,566.5349860199998,223.98902660965229,65.38948145680159,176.0665371892963,163.08319206183802,-12.983345127458279,-7.3741128409309,259.3062482998219,364.80908904091893,105.50284074109703,40.68657868170988
xgb,10485760,10.0,sequential,random,512,2048,369.2396538519099,472.76099159146077,103.52133773955086,28.036354345914845,135.02717088037085,177.49235111654656,42.46518023617571,31.449359383970442,252.13341236614036,325.12667135400363,72.99325898786327,28.95025229019021
rf,104857600,100.0,random,read_heavy,512,256,511.4514217335248,453.2932164410091,-58.158205292515675,-11.371208060267573,164.36996472219414,179.4432699033612,15.073305181167058,9.170352507310465,337.9106932278595,316.36824317218515,-21.54245005567435,-6.375190394211015
rf,104857600,100.0,random,read_heavy,512,256,526.0441105891836,362.7403679838378,-163.30374260534575,-31.04373555716481,189.27464269141007,171.46183581409446,-17.81280687731561,-9.41108995057372,357.65937664029684,267.10110189896614,-90.5582747413307,-25.319698197764986
rf,104857600,100.0,random,read_heavy,512,256,519.8338899529201,399.2136866244237,-120.62020332849642,-23.20360516306866,185.28549302954724,176.09041283645533,-9.195080193091911,-4.962655220733112,352.5596914912337,287.6520497304395,-64.9076417607942,-18.410397821217778
