file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps,file_size_mb,chunk_size_kb,file_extension,dir_depth,read_write_ratio,avg_access_size,max_access_size,read_percentage,path_chunk_hint
/mnt/beegfs/testdir_128K/test_2000M.dat,2000000000,128000,42,70451,41472,132096,72704,40,2,544.95,1907.3486328125,125.0,.dat,5,20.0,69071.04761904762,132096,95.23809523809523,131072
/mnt/beegfs/testdir_1536K/test_1000M.dat,1000000000,1536000,42,283776,72192,521216,128000,40,2,798.98,953.67431640625,1500.0,.dat,5,20.0,273700.5714285714,521216,95.23809523809523,1572864
/mnt/beegfs/testdir_256K/test_50M.dat,50000000,256000,52,143810,137216,265216,220160,50,2,466.3,47.6837158203125,250.0,.dat,5,25.0,143556.38461538462,265216,96.15384615384616,262144
/mnt/beegfs/testdir_1024K/test_100M.dat,100000000,1024000,52,261980,394240,525312,463872,50,2,546.17,95.367431640625,1000.0,.dat,5,25.0,267066.92307692306,525312,96.15384615384616,1048576
/mnt/beegfs/testdir_64K/test_1000M.dat,1000000000,64000,42,31718,49152,66560,53248,40,2,284.83,953.67431640625,62.5,.dat,5,20.0,32548.190476190477,66560,95.23809523809523,65536
/mnt/beegfs/testdir_512K/test_750M.dat,750000000,512000,52,270049,130048,522240,216064,50,2,487.37,715.2557373046875,500.0,.dat,5,25.0,264664.3461538461,522240,96.15384615384616,524288
/mnt/beegfs/testdir_3072K/test_750M.dat,750000000,3072000,42,321177,243200,519168,372736,40,2,505.27,715.2557373046875,3000.0,.dat,5,20.0,317463.8095238095,519168,95.23809523809523,3145728
/mnt/beegfs/testdir_1024K/test_1500M.dat,1500000000,1024000,45,250811,254634,486400,505856,15,30,1122.42,1430.511474609375,1000.0,.dat,5,0.5,253359.66666666666,505856,33.33333333333333,1048576
/mnt/beegfs/testdir_64K/test_200M.dat,200000000,64000,52,30330,53248,66560,60416,50,2,260.67,190.73486328125,62.5,.dat,5,25.0,31211.46153846154,66560,96.15384615384616,65536
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,256000,52,140881,136192,257024,226304,50,2,422.97,95.367431640625,250.0,.dat,5,25.0,140700.65384615384,257024,96.15384615384616,262144
/mnt/beegfs/testdir_768K/test_500M.dat,500000000,768000,52,246190,40960,513024,59392,50,2,746.67,476.837158203125,750.0,.dat,5,25.0,238296.53846153847,513024,96.15384615384616,786432
/mnt/beegfs/testdir_3072K/test_1000M.dat,1000000000,3072000,52,258662,288256,525312,500736,50,2,474.26,953.67431640625,3000.0,.dat,5,25.0,259800.23076923078,525312,96.15384615384616,3145728
/mnt/beegfs/testdir_4096K/test_50M.dat,50000000,4096000,52,263249,387584,496640,505856,50,2,480.89,47.6837158203125,4000.0,.dat,5,25.0,268031.1153846154,505856,96.15384615384616,4194304
